,station,column,count
0,76t,PM25,574
1,76t,PM10,161
2,76t,NO2,2369
3,76t,SO2,13130
4,76t,CO,3707
5,76t,O3,163
6,81t,PM25,74
7,81t,PM10,76
8,81t,NO2,601
9,81t,SO2,592
10,81t,CO,85
11,81t,O3,143
12,47t,PM25,17
13,47t,PM10,87
14,47t,NO2,879
15,47t,SO2,805
16,47t,CO,357
17,47t,O3,71
18,m3,PM25,15
19,m3,PM10,7
20,m3,NO2,866
21,m3,SO2,874
22,m3,CO,852
23,m3,O3,852
24,o26,PM10,8586
25,o26,NO2,8586
26,o26,SO2,8586
27,o26,CO,8586
28,o26,O3,8586
29,41t,PM25,87
30,41t,PM10,94
31,41t,NO2,11027
32,41t,SO2,614
33,41t,CO,1833
34,41t,O3,291
35,13t,PM25,18
36,13t,PM10,3850
37,13t,NO2,4265
38,13t,SO2,4259
39,13t,CO,3938
40,13t,O3,3921
41,22t,PM25,49
42,22t,PM10,2184
43,22t,NO2,13014
44,22t,SO2,13018
45,22t,CO,12552
46,22t,O3,3578
47,62t,PM25,218
48,62t,PM10,85
49,62t,NO2,710
50,62t,SO2,13028
51,62t,CO,11981
52,62t,O3,418
53,67t,PM25,115
54,67t,PM10,113
55,67t,NO2,630
56,67t,SO2,574
57,67t,CO,47
58,67t,O3,71
59,75t,PM25,505
60,75t,PM10,708
61,75t,NO2,173
62,75t,SO2,10171
63,75t,CO,4183
64,75t,O3,1752
65,20t,PM25,164
66,20t,PM10,169
67,20t,NO2,8058
68,20t,SO2,8052
69,20t,CO,7878
70,20t,O3,8071
71,77t,PM25,151
72,77t,PM10,172
73,77t,NO2,10613
74,77t,SO2,1267
75,77t,CO,13095
76,77t,O3,281
77,o21,PM10,9725
78,o21,NO2,9725
79,o21,SO2,9725
80,o21,CO,9725
81,o21,O3,9725
82,21t,PM25,101
83,21t,PM10,382
84,21t,NO2,3963
85,21t,SO2,632
86,21t,CO,13108
87,21t,O3,209
88,70t,PM25,29
89,70t,PM10,29
90,70t,NO2,602
91,70t,SO2,13197
92,70t,CO,433
93,70t,O3,128
94,o27,PM10,10960
95,o27,NO2,10960
96,o27,SO2,10960
97,o27,CO,10960
98,o27,O3,10960
99,o22,PM10,8766
100,o22,NO2,8766
101,o22,SO2,8766
102,o22,CO,8766
103,o22,O3,8766
104,43t,PM25,109
105,43t,PM10,58
106,43t,NO2,1079
107,43t,SO2,1708
108,43t,CO,1606
109,43t,O3,111
110,63t,PM25,401
111,63t,PM10,748
112,63t,NO2,10891
113,63t,SO2,13071
114,63t,CO,12742
115,63t,O3,1047
116,78t,PM25,39
117,78t,PM10,201
118,78t,NO2,13060
119,78t,SO2,13060
120,78t,CO,13060
121,78t,O3,13060
122,o29,PM10,6057
123,o29,NO2,6057
124,o29,SO2,6057
125,o29,CO,6057
126,o29,O3,6057
127,28t,PM25,8
128,28t,PM10,54
129,28t,NO2,2065
130,28t,SO2,601
131,28t,CO,13065
132,28t,O3,204
133,29t,PM25,116
134,29t,PM10,183
135,29t,NO2,859
136,29t,SO2,714
137,29t,CO,171
138,29t,O3,851
139,30t,PM25,20
140,30t,PM10,75
141,30t,NO2,589
142,30t,SO2,612
143,30t,CO,13119
144,30t,O3,91
145,31t,PM25,54
146,31t,PM10,81
147,31t,NO2,810
148,31t,SO2,690
149,31t,CO,191
150,31t,O3,212
151,74t,PM25,148
152,74t,PM10,81
153,74t,NO2,207
154,74t,SO2,585
155,74t,CO,174
156,74t,O3,268
157,m8,PM25,1768
158,m8,PM10,4340
159,m8,NO2,1373
160,m8,SO2,2632
161,m8,CO,2582
162,m8,O3,15
163,26t,PM25,122
164,26t,PM10,480
165,26t,NO2,11135
166,26t,SO2,13120
167,26t,CO,5933
168,26t,O3,3507
169,37t,PM25,33
170,37t,PM10,1369
171,37t,NO2,10555
172,37t,SO2,629
173,37t,CO,8374
174,37t,O3,37
175,38t,PM25,92
176,38t,PM10,76
177,38t,NO2,10941
178,38t,SO2,570
179,38t,CO,922
180,38t,O3,144
181,39t,PM25,246
182,39t,PM10,235
183,39t,NO2,11663
184,39t,SO2,591
185,39t,CO,13047
186,39t,O3,153
187,40t,PM25,297
188,40t,PM10,253
189,40t,NO2,9855
190,40t,SO2,4732
191,40t,CO,12737
192,40t,O3,1713
193,68t,PM25,45
194,68t,PM10,106
195,68t,NO2,641
196,68t,SO2,910
