,station,column
0,41t,Rain
1,46t,Rain
2,43t,Rain
3,43t,PM25
4,77t,CO
5,60t,Rain
6,60t,CO
7,72t,SO2
8,72t,NO2
9,72t,Rain
10,72t,O3
11,72t,CO
12,63t,SO2
13,63t,NO2
14,63t,Rain
15,63t,O3
16,63t,PM25
17,21t,Rain
18,21t,PM25
19,83t,Rain
20,83t,Temp
21,71t,SO2
22,71t,NO2
23,71t,Rain
24,71t,O3
25,71t,CO
26,47t,Rain
27,47t,PM25
28,44t,Rain
29,68t,Rain
30,26t,Rain
31,69t,Rain
32,69t,PM25
33,20t,Rain
34,20t,PM25
35,42t,Rain
36,76t,SO2
37,84t,Rain
38,84t,Temp
39,78t,O3
40,78t,SO2
41,78t,NO2
42,78t,CO
43,58t,Rain
44,58t,SO2
45,58t,NO2
46,58t,PM25
47,62t,SO2
48,62t,NO2
49,62t,Rain
50,62t,O3
51,62t,PM25
52,70t,Rain
53,70t,SO2
54,37t,Rain
55,39t,Rain
56,39t,PM25
57,38t,Rain
58,38t,WD
59,38t,PM25
60,38t,WS
61,40t,Rain
62,34t,Rain
63,34t,SO2
64,32t,Rain
65,32t,CO
66,33t,Rain
67,33t,SO2
68,33t,CO
69,31t,Rain
70,31t,PM25
71,30t,Rain
72,29t,Rain
73,29t,PM25
74,28t,Rain
75,28t,CO
76,74t,Rain
77,27t,Rain
78,27t,CO
79,14t,Rain
80,14t,PM25
81,59t,Rain
82,11t,Rain
83,11t,PM25
84,61t,Rain
85,12t,Rain
86,12t,PM25
87,10t,Rain
88,10t,PM25
89,05t,Rain
90,02t,PM10
91,02t,O3
92,02t,PM25
93,02t,WS
94,24t,Rain
95,25t,Rain
96,25t,PM25
97,03t,Rain
98,03t,SO2
99,54t,Rain
100,50t,Temp
101,50t,SO2
102,50t,NO2
103,50t,Rain
104,50t,O3
105,50t,WD
106,50t,PM25
107,50t,WS
108,53t,Rain
109,53t,PM25
110,52t,Rain
111,35t,Temp
112,35t,Rain
113,35t,WD
114,35t,PM25
115,35t,WS
116,36t,Rain
117,36t,PM25
118,67t,Rain
119,67t,PM25
120,73t,Rain
121,73t,SO2
122,73t,NO2
123,57t,Rain
124,57t,SO2
125,57t,NO2
126,57t,PM25
127,13t,Rain
128,13t,PM25
129,13t,WS
130,22t,Rain
131,22t,PM25
132,08t,Rain
133,16t,Rain
134,16t,PM25
135,17t,Rain
136,17t,PM25
137,18t,Rain
138,18t,PM25
139,19t,Rain
140,19t,PM25
