datetime,CO,SO2,O3,PM10,Temp,PM25,NO2
2010-01-02 00:00:00+07:00,0.55,0.0,5.0,38.0,18.5,,
2010-01-02 01:00:00+07:00,0.3,0.0,0.0,22.0,18.5,,
2010-01-02 02:00:00+07:00,0.4,0.0,0.0,21.0,18.5,,
2010-01-02 03:00:00+07:00,0.4,0.0,0.0,19.0,18.5,,
2010-01-02 04:00:00+07:00,0.3,0.0,0.0,18.0,18.5,,
2010-01-02 05:00:00+07:00,0.3,0.0,0.0,17.0,18.5,,
2010-01-02 06:00:00+07:00,0.3,0.0,0.0,18.0,18.5,,
2010-01-02 07:00:00+07:00,0.3,0.0,0.0,18.0,18.5,,
2010-01-02 08:00:00+07:00,0.4,0.0,1.0,33.0,18.5,,
2010-01-02 09:00:00+07:00,0.5,0.0,2.0,80.0,18.5,,
2010-01-02 10:00:00+07:00,0.4,0.0,14.0,91.0,18.5,,
2010-01-02 11:00:00+07:00,0.4,0.0,27.0,12.0,18.5,,
2010-01-02 12:00:00+07:00,0.4,0.0,33.0,14.0,18.5,,
2010-01-02 13:00:00+07:00,0.3,0.0,30.0,7.0,18.5,,
2010-01-02 14:00:00+07:00,0.3,0.0,7.0,12.0,18.5,,
2010-01-02 15:00:00+07:00,0.3,0.0,19.0,16.0,18.5,,
2010-01-02 16:00:00+07:00,0.3,0.0,59.0,23.0,18.5,,
2010-01-02 17:00:00+07:00,0.4,1.0,55.0,48.0,18.5,,
2010-01-02 18:00:00+07:00,0.6,0.0,40.0,92.0,18.5,,
2010-01-02 19:00:00+07:00,0.5,0.0,30.0,45.0,18.5,,
2010-01-02 20:00:00+07:00,0.5,0.0,18.0,61.0,18.5,,
2010-01-02 21:00:00+07:00,0.6,0.0,10.0,39.0,18.5,,
2010-01-02 22:00:00+07:00,0.4,0.0,6.0,52.0,18.5,,
2010-01-02 23:00:00+07:00,0.5,0.0,7.0,56.0,18.5,,
2010-01-03 00:00:00+07:00,0.5,0.0,2.0,45.0,18.5,,
2010-01-03 01:00:00+07:00,0.6,0.0,3.5,36.0,18.5,,
2010-01-03 02:00:00+07:00,0.4,0.0,2.0,26.0,18.5,,
2010-01-03 03:00:00+07:00,0.4,0.0,1.0,24.0,18.5,,
2010-01-03 04:00:00+07:00,0.5,0.0,1.0,26.0,18.5,,
2010-01-03 05:00:00+07:00,0.4,0.0,0.0,20.0,18.5,,
2010-01-03 06:00:00+07:00,0.4,0.0,0.0,22.0,18.5,,
2010-01-03 07:00:00+07:00,0.4,0.0,0.0,24.0,18.5,,
2010-01-03 08:00:00+07:00,0.8500000000000001,0.0,1.0,86.0,18.5,,
2010-01-03 09:00:00+07:00,0.6,0.0,5.0,88.0,18.5,,
2010-01-03 10:00:00+07:00,0.5,0.0,20.0,101.0,18.5,,
2010-01-03 11:00:00+07:00,0.4,2.0,28.0,22.0,18.5,,
2010-01-03 12:00:00+07:00,0.4,2.0,16.0,9.0,18.5,,
2010-01-03 13:00:00+07:00,0.4,2.5,7.0,16.0,18.5,,
2010-01-03 14:00:00+07:00,0.4,2.5,43.0,24.0,18.5,,
2010-01-03 15:00:00+07:00,0.4,2.3333333333333335,49.0,31.0,18.5,,
2010-01-03 16:00:00+07:00,0.4,1.0,57.0,17.0,18.5,,
2010-01-03 17:00:00+07:00,0.4,0.0,58.0,24.0,18.5,,
2010-01-03 18:00:00+07:00,0.7,0.0,40.0,69.0,18.5,,
2010-01-03 19:00:00+07:00,0.5,0.0,31.0,77.0,18.5,,
2010-01-03 20:00:00+07:00,0.7,0.0,23.0,81.0,18.5,,
2010-01-03 21:00:00+07:00,0.7,0.0,16.0,93.0,18.5,,
2010-01-03 22:00:00+07:00,0.8,0.0,8.0,83.0,18.5,,
2010-01-03 23:00:00+07:00,0.5,0.0,5.0,53.0,18.5,,
2010-01-04 00:00:00+07:00,0.1,1.0,2.0,35.0,18.5,,
2010-01-04 01:00:00+07:00,0.1,1.0,2.0,35.0,18.5,,
2010-01-04 02:00:00+07:00,0.5,1.0,2.0,39.0,18.5,,
2010-01-04 03:00:00+07:00,0.5,1.0,2.0,40.0,18.5,,
2010-01-04 04:00:00+07:00,0.5,1.0,2.0,32.0,18.5,,
2010-01-04 05:00:00+07:00,0.5,1.0,1.0,28.0,18.5,,
2010-01-04 06:00:00+07:00,0.4,1.0,1.0,23.0,18.5,,
2010-01-04 07:00:00+07:00,0.5,1.0,1.0,33.0,18.5,,
2010-01-04 08:00:00+07:00,0.8500000000000001,1.0,1.0,73.0,18.5,,
2010-01-04 09:00:00+07:00,0.8500000000000001,1.0,5.0,121.0,18.5,,
2010-01-04 10:00:00+07:00,0.5,1.0,21.0,92.0,18.5,,
2010-01-04 11:00:00+07:00,0.4,1.0,28.0,35.0,18.5,,
2010-01-04 12:00:00+07:00,0.30000000000000004,1.0,16.0,28.0,18.5,,
2010-01-04 13:00:00+07:00,0.2,1.0,7.0,33.0,18.5,,
2010-01-04 14:00:00+07:00,0.3,1.0,43.0,29.0,18.5,,
2010-01-04 15:00:00+07:00,0.2,1.0,50.0,26.0,18.5,,
2010-01-04 16:00:00+07:00,0.2,1.0,58.0,40.0,18.5,,
