datetime,CO,O3,PM10,WS,WD,Temp,NO2,SO2,Rain,PM25
2010-01-01 00:00:00+07:00,0.9,2.1,38.0,0.3,14.0,16.3,,,,
2010-01-01 01:00:00+07:00,0.8,1.9,54.0,0.3,27.0,15.8,,,,
2010-01-01 02:00:00+07:00,0.7,1.6,60.0,0.2,74.0,15.2,,,,
2010-01-01 03:00:00+07:00,0.6,3.5,45.0,0.4,73.0,14.8,,,,
2010-01-01 04:00:00+07:00,0.6,3.1,32.0,0.4,11.0,14.4,,,,
2010-01-01 05:00:00+07:00,0.5,1.3,30.0,0.3,5.0,14.0,,,,
2010-01-01 06:00:00+07:00,0.5,0.5,24.0,0.4,337.0,13.6,,,,
2010-01-01 07:00:00+07:00,0.55,0.9,24.0,0.3,8.0,13.4,,,,
2010-01-01 08:00:00+07:00,0.6,1.3,57.0,0.3,144.0,13.4,,,,
2010-01-01 09:00:00+07:00,0.7,5.5,47.0,0.9,169.0,16.9,,,,
2010-01-01 10:00:00+07:00,0.6,10.3,18.0,0.9,168.0,20.3,,,,
2010-01-01 11:00:00+07:00,0.5,17.5,28.0,0.4,279.0,24.0,,,,
2010-01-01 12:00:00+07:00,0.4,21.6,16.0,0.6,180.0,25.9,,,,
2010-01-01 13:00:00+07:00,0.4,23.6,17.0,0.4,206.0,28.2,,,,
2010-01-01 14:00:00+07:00,0.4,22.8,15.0,1.2,199.0,30.5,,,,
2010-01-01 15:00:00+07:00,0.4,24.6,11.0,1.5,197.0,31.6,,,,
2010-01-01 16:00:00+07:00,0.4,25.1,7.0,0.6,198.0,32.5,,,,
2010-01-01 17:00:00+07:00,0.4,21.9,25.0,0.9,240.0,31.6,,,,
2010-01-01 18:00:00+07:00,0.5,17.1,29.0,0.2,255.0,27.8,,,,
2010-01-01 19:00:00+07:00,0.6,14.8,33.0,0.9,66.0,23.9,,,,
2010-01-01 20:00:00+07:00,0.6,14.8,33.0,0.9,66.0,23.9,,,,
2010-01-01 21:00:00+07:00,1.1,1.8,49.0,0.3,31.0,19.0,,,,
2010-01-01 22:00:00+07:00,1.1,3.2,42.0,0.4,348.0,18.1,,,,
2010-01-01 23:00:00+07:00,1.0,3.2,59.0,0.3,44.0,17.0,,,,
2010-01-02 00:00:00+07:00,1.0,4.3,50.0,0.1,5.0,15.1,,,,
2010-01-02 01:00:00+07:00,0.9,2.3,30.0,0.2,339.0,15.7,,,,
2010-01-02 02:00:00+07:00,0.9,1.9,27.0,0.4,26.0,14.9,,,,
2010-01-02 03:00:00+07:00,0.8,2.2,20.0,0.4,21.0,14.2,,,,
2010-01-02 04:00:00+07:00,0.8,1.6,20.0,0.2,318.0,13.7,,,,
2010-01-02 05:00:00+07:00,0.8,1.1,20.0,0.3,85.0,13.1,,,,
2010-01-02 06:00:00+07:00,0.8,1.05,19.0,0.3,358.0,12.8,,,,
2010-01-02 07:00:00+07:00,0.8,1.0,21.0,0.2,334.0,12.5,,,,
2010-01-02 08:00:00+07:00,0.9,1.7,32.0,0.0,351.0,12.4,,,,
2010-01-02 09:00:00+07:00,0.8,4.9,42.0,0.6,195.0,16.0,,,,
2010-01-02 10:00:00+07:00,0.9,10.9,24.0,0.8,219.0,20.3,,,,
2010-01-02 11:00:00+07:00,0.8,18.8,28.0,1.0,244.0,23.5,,,,
2010-01-02 12:00:00+07:00,0.8,23.1,19.0,0.5,208.0,26.2,,,,
2010-01-02 13:00:00+07:00,0.7,27.7,18.0,0.8,222.0,28.5,,,,
2010-01-02 14:00:00+07:00,0.7,34.0,20.0,0.6,215.0,30.9,,,,
2010-01-02 15:00:00+07:00,0.8,36.3,20.0,0.3,164.0,31.5,,,,
2010-01-02 16:00:00+07:00,0.8,33.3,18.0,0.3,349.0,32.5,,,,
2010-01-02 17:00:00+07:00,0.8,29.7,27.0,0.9,312.0,31.4,,,,
2010-01-02 18:00:00+07:00,1.0,25.1,42.0,0.5,50.0,27.1,,,,
2010-01-02 19:00:00+07:00,0.8,22.2,34.0,1.1,100.0,22.8,,,,
2010-01-02 20:00:00+07:00,1.0,15.7,34.0,0.7,58.0,21.0,,,,
2010-01-02 21:00:00+07:00,1.0,12.1,48.0,0.4,354.0,19.1,,,,
2010-01-02 22:00:00+07:00,1.1,7.4,42.0,0.3,27.0,17.2,,,,
2010-01-02 23:00:00+07:00,1.1,4.6,58.0,0.1,34.0,16.2,,,,
2010-01-03 00:00:00+07:00,0.7,4.1,44.0,0.2,61.0,16.6,,,,
2010-01-03 01:00:00+07:00,0.9,3.7,37.0,0.3,335.0,14.4,,,,
2010-01-03 02:00:00+07:00,0.9,3.1,27.0,0.2,95.0,13.7,,,,
2010-01-03 03:00:00+07:00,0.8,3.6,30.0,0.3,65.0,13.1,,,,
2010-01-03 04:00:00+07:00,0.8,3.2,27.0,0.2,87.0,12.7,,,,
2010-01-03 05:00:00+07:00,0.8,3.1,21.0,0.5,58.0,12.2,,,,
2010-01-03 06:00:00+07:00,0.8,3.0,24.0,0.6,351.0,11.9,,,,
2010-01-03 07:00:00+07:00,0.9,1.3,22.0,0.3,261.0,11.5,,,,
2010-01-03 08:00:00+07:00,0.8,2.1,37.0,0.3,73.0,11.7,,,,
2010-01-03 09:00:00+07:00,0.9,5.3,22.0,0.7,159.0,15.0,,,,
2010-01-03 10:00:00+07:00,0.9,12.1,14.0,1.0,203.0,19.1,,,,
2010-01-03 11:00:00+07:00,0.8,19.5,30.0,1.1,193.0,22.3,,,,
2010-01-03 12:00:00+07:00,0.8,26.2,9.0,0.6,194.0,25.3,,,,
2010-01-03 13:00:00+07:00,0.8,29.4,22.0,0.6,257.0,28.0,,,,
2010-01-03 14:00:00+07:00,0.8,33.9,22.0,0.4,196.0,29.7,,,,
2010-01-03 15:00:00+07:00,0.8,36.2,17.0,0.5,322.0,31.8,,,,
2010-01-03 16:00:00+07:00,0.7,31.1,15.0,0.4,244.0,32.2,,,,
2010-01-03 17:00:00+07:00,0.7,27.5,24.0,0.8,183.0,31.0,,,,
2010-01-03 18:00:00+07:00,0.8,24.1,30.0,0.8,131.0,27.1,,,,
2010-01-03 19:00:00+07:00,0.9,19.7,34.0,0.7,89.0,23.3,,,,
2010-01-03 20:00:00+07:00,1.1,12.0,43.0,0.5,26.0,21.4,,,,
2010-01-03 21:00:00+07:00,1.0,8.1,49.0,0.3,61.0,19.6,,,,
2010-01-03 22:00:00+07:00,1.1,2.8,51.0,0.2,355.0,18.6,,,,
2010-01-03 23:00:00+07:00,0.6,5.6,52.0,0.3,359.0,17.5,,,,
2010-01-04 00:00:00+07:00,0.7,4.7,46.0,0.1,10.0,16.7,,,,
2010-01-04 01:00:00+07:00,0.6,2.5,39.0,0.2,354.0,15.9,,,,
2010-01-04 02:00:00+07:00,0.6,2.7,33.0,0.2,8.0,15.2,,,,
2010-01-04 03:00:00+07:00,0.6,2.0,33.0,0.3,128.0,14.4,,,,
2010-01-04 04:00:00+07:00,0.55,2.0,29.0,0.3,74.0,14.0,,,,
2010-01-04 05:00:00+07:00,0.5,2.0,28.0,0.6,349.0,13.6,,,,
2010-01-04 06:00:00+07:00,0.5,1.4,22.0,0.2,16.0,13.3,,,,
2010-01-04 07:00:00+07:00,0.5,1.4,22.0,0.2,348.0,13.0,,,,
2010-01-04 08:00:00+07:00,0.7,2.7,38.0,0.5,18.0,13.4,,,,
2010-01-04 09:00:00+07:00,0.7,3.5,68.0,0.1,160.0,14.3,,,,
2010-01-04 10:00:00+07:00,0.6,8.9,42.0,1.0,182.0,18.6,,,,
2010-01-04 11:00:00+07:00,0.5,13.8,32.0,0.9,208.0,22.7,,,,
2010-01-04 12:00:00+07:00,0.5,21.2,22.0,1.0,248.0,26.0,,,,
2010-01-04 13:00:00+07:00,0.5,25.5,18.0,0.7,238.0,28.3,,,,
2010-01-04 14:00:00+07:00,0.5,28.2,20.0,0.8,190.0,30.3,,,,
2010-01-04 15:00:00+07:00,0.4,32.2,18.0,1.4,160.0,31.5,,,,
2010-01-04 16:00:00+07:00,0.4,29.1,13.0,1.55,185.0,32.0,,,,
2010-01-04 17:00:00+07:00,0.4,28.5,23.0,1.55,189.0,31.2,,,,
2010-01-04 18:00:00+07:00,0.5,25.7,32.0,1.1,155.0,28.1,,,,
2010-01-04 19:00:00+07:00,0.5,19.4,35.0,1.4,114.0,23.7,,,,
2010-01-04 20:00:00+07:00,0.6,15.0,22.0,0.8,132.0,22.4,,,,
2010-01-04 21:00:00+07:00,0.7,10.4,36.0,0.4,52.0,20.3,,,,
2010-01-04 22:00:00+07:00,0.8,7.0,56.0,0.3,343.0,18.9,,,,
2010-01-04 23:00:00+07:00,0.7,5.6,51.0,0.3,353.0,17.7,,,,
2010-01-05 00:00:00+07:00,0.7,3.1,37.0,0.2,328.0,17.6,,,,
2010-01-05 01:00:00+07:00,0.6,4.3,34.0,0.4,1.0,16.0,,,,
2010-01-05 02:00:00+07:00,0.6,2.8,24.0,0.4,2.0,15.3,,,,
2010-01-05 03:00:00+07:00,0.55,2.5999999999999996,32.0,0.5,66.0,14.7,,,,
2010-01-05 04:00:00+07:00,0.5,2.4,28.0,0.4,340.0,14.3,,,,
2010-01-05 05:00:00+07:00,0.5,2.6,21.0,0.3,32.0,13.9,,,,
2010-01-05 06:00:00+07:00,0.5,1.6,21.0,0.4,20.0,13.5,,,,
2010-01-05 07:00:00+07:00,0.5,1.1,23.0,0.4,40.0,13.3,,,,
2010-01-05 08:00:00+07:00,0.7,1.2,51.0,0.2,51.0,13.5,,,,
2010-01-05 09:00:00+07:00,1.1,4.5,68.0,0.8,317.0,16.5,,,,
2010-01-05 10:00:00+07:00,0.7,7.0,66.0,0.6,290.0,20.3,,,,
2010-01-05 11:00:00+07:00,0.6,16.1,45.0,0.6,273.0,23.4,,,,
2010-01-05 12:00:00+07:00,0.6,19.6,40.0,1.0,304.0,26.5,,,,
2010-01-05 13:00:00+07:00,0.5,19.0,31.0,1.4,313.0,28.0,,,,
2010-01-05 14:00:00+07:00,0.5,22.7,23.0,0.9,290.0,29.2,,,,
2010-01-05 15:00:00+07:00,0.6,27.8,17.0,0.4,297.0,31.2,,,,
2010-01-05 16:00:00+07:00,0.6,24.7,38.0,0.8,336.0,30.1,,,,
2010-01-05 17:00:00+07:00,0.7,20.1,42.0,0.8,334.0,29.4,,,,
2010-01-05 18:00:00+07:00,0.9,12.6,50.0,0.5,28.0,26.9,,,,
2010-01-05 19:00:00+07:00,0.9,11.6,55.0,0.7,64.0,23.9,,,,
2010-01-05 20:00:00+07:00,0.9,7.4,71.0,0.5,359.0,21.7,,,,
2010-01-05 21:00:00+07:00,0.7,6.0,53.0,0.4,358.0,20.1,,,,
2010-01-05 22:00:00+07:00,0.8,2.8,53.0,0.4,16.0,19.1,,,,
2010-01-05 23:00:00+07:00,0.8,3.7,47.0,0.5,334.0,18.4,,,,
2010-01-06 00:00:00+07:00,0.7,2.8,58.0,0.6,330.0,21.7,,,,
2010-01-06 01:00:00+07:00,0.6,1.6,28.0,0.3,50.0,17.0,,,,
2010-01-06 02:00:00+07:00,0.6,1.3,27.0,0.1,41.0,16.6,,,,
