datetime,CO,NO2,O3,PM10,WS,WD,Temp,PM25,SO2,Rain
2019-07-05 00:00:00+07:00,0.45,6.0,18.0,12.0,1.2,127.0,25.7,4.0,,
2019-07-05 01:00:00+07:00,0.37,5.0,20.0,23.0,1.3,134.0,26.1,9.0,,
2019-07-05 02:00:00+07:00,0.35,5.0,20.0,20.0,1.4,136.0,25.6,8.0,,
2019-07-05 03:00:00+07:00,0.38,5.0,19.0,10.0,1.4,136.0,25.2,7.0,,
2019-07-05 04:00:00+07:00,0.41,6.0,18.0,9.0,1.5,136.0,25.0,6.0,,
2019-07-05 05:00:00+07:00,0.43,7.0,15.0,10.0,1.4,135.0,24.8,7.0,,
2019-07-05 06:00:00+07:00,0.44,6.0,17.0,11.0,1.2,123.0,24.4,6.846153846153846,,
2019-07-05 07:00:00+07:00,0.46,7.0,16.0,7.0,1.3,137.0,24.7,6.6923076923076925,,
2019-07-05 08:00:00+07:00,0.5,7.0,15.0,7.0,1.3,125.0,25.5,6.538461538461538,,
2019-07-05 09:00:00+07:00,0.46,7.0,17.0,15.0,0.9,127.0,27.6,6.384615384615385,,
2019-07-05 10:00:00+07:00,0.41,6.0,20.0,13.0,1.2,144.0,28.5,6.230769230769231,,
2019-07-05 11:00:00+07:00,0.37,5.0,25.0,15.0,1.1,124.0,29.6,6.076923076923077,,
2019-07-05 12:00:00+07:00,0.38,5.0,29.0,11.0,1.3,132.0,30.2,5.923076923076923,,
2019-07-05 13:00:00+07:00,0.34,4.0,29.0,10.0,1.7,169.0,32.0,5.769230769230769,,
2019-07-05 14:00:00+07:00,0.3,4.0,33.0,7.0,1.3,165.0,34.0,5.615384615384615,,
2019-07-05 15:00:00+07:00,0.32,5.0,31.0,9.0,1.6,166.0,34.3,5.461538461538462,,
2019-07-05 16:00:00+07:00,0.38,5.0,30.0,17.0,1.4,166.0,32.8,5.3076923076923075,,
2019-07-05 17:00:00+07:00,0.375,5.5,30.0,17.0,1.6,182.0,32.2,5.153846153846153,,
2019-07-05 18:00:00+07:00,0.37,6.0,29.0,20.0,1.4,176.0,31.6,5.0,,
2019-07-05 19:00:00+07:00,0.41,6.0,28.0,17.0,1.0,166.0,30.6,4.0,,
2019-07-05 20:00:00+07:00,0.43,7.0,26.0,11.0,1.1,134.0,29.1,5.0,,
2019-07-05 21:00:00+07:00,0.47,7.0,21.0,9.0,0.9,120.0,27.6,6.0,,
2019-07-05 22:00:00+07:00,0.43,8.0,19.0,15.0,1.0,135.0,26.8,11.0,,
2019-07-05 23:00:00+07:00,0.44,7.0,19.0,12.0,1.2,125.0,26.1,7.0,,
2019-07-06 00:00:00+07:00,0.36,4.0,21.0,12.0,1.0,136.0,28.0,7.0,,
2019-07-06 01:00:00+07:00,0.28,6.0,16.0,18.0,1.2,111.0,25.4,6.0,,
2019-07-06 02:00:00+07:00,0.27,6.0,16.0,9.0,1.1,116.0,25.6,7.0,,
2019-07-06 03:00:00+07:00,0.3,6.0,15.0,8.0,1.1,114.0,25.5,6.0,,
2019-07-06 04:00:00+07:00,0.32,6.0,15.0,9.0,1.2,118.0,25.2,5.0,,
2019-07-06 05:00:00+07:00,0.32,5.0,15.0,10.0,1.4,136.0,25.1,6.0,,
2019-07-06 06:00:00+07:00,0.32,5.0,15.0,9.0,1.6,100.0,24.8,5.0,,
2019-07-06 07:00:00+07:00,0.34,5.0,14.0,8.0,1.4,74.0,24.6,4.0,,
2019-07-06 08:00:00+07:00,0.36,5.0,15.0,10.0,1.4,104.0,25.6,5.0,,
2019-07-06 09:00:00+07:00,0.31,5.0,18.0,8.0,1.5,108.0,28.0,4.0,,
2019-07-06 10:00:00+07:00,0.26,5.0,22.0,18.0,1.8,117.0,29.1,7.0,,
2019-07-06 11:00:00+07:00,0.24,5.0,27.0,14.0,1.5,124.0,30.7,6.0,,
2019-07-06 12:00:00+07:00,0.2,4.0,31.0,12.0,1.3,130.0,32.9,9.0,,
2019-07-06 13:00:00+07:00,0.16,4.0,29.0,9.0,1.3,181.0,33.5,7.0,,
2019-07-06 14:00:00+07:00,0.2,4.0,30.0,10.0,1.4,180.0,32.9,5.0,,
2019-07-06 15:00:00+07:00,0.25,4.0,31.0,10.0,1.0,204.0,32.9,4.0,,
2019-07-06 16:00:00+07:00,0.235,4.0,33.0,13.0,1.1,200.0,34.3,7.0,,
2019-07-06 17:00:00+07:00,0.22,4.0,31.0,11.0,1.3,180.0,34.2,9.0,,
2019-07-06 18:00:00+07:00,0.33,7.0,29.0,7.0,0.8,170.0,32.6,6.0,,
2019-07-06 19:00:00+07:00,0.33,5.0,30.0,5.0,1.0,167.0,32.0,4.0,,
2019-07-06 20:00:00+07:00,0.35,5.0,28.0,12.0,1.1,153.0,30.7,8.0,,
2019-07-06 21:00:00+07:00,0.35,5.0,27.0,14.0,1.3,150.0,30.1,7.0,,
2019-07-06 22:00:00+07:00,0.35,5.0,25.0,11.0,1.0,140.0,29.6,8.0,,
