datetime,CO,NO2,SO2,O3,PM25,PM10,WS,WD,Temp,Rain
2015-06-22 00:00:00+07:00,0.2,2.5,0.0,3.0,6.0,11.0,0.3,314.0,24.2,91.0
2015-06-22 01:00:00+07:00,0.2,2.5,0.0,0.0,2.0,17.0,0.4,248.0,23.8,95.0
2015-06-22 02:00:00+07:00,0.2,2.0,1.0,0.0,7.0,18.0,0.3,300.0,23.6,96.0
2015-06-22 03:00:00+07:00,0.2,2.0,1.0,0.0,6.0,18.0,0.3,249.0,23.2,97.0
2015-06-22 04:00:00+07:00,0.2,2.0,1.0,0.0,2.0,13.0,0.4,308.0,23.1,97.0
2015-06-22 05:00:00+07:00,0.2,1.0,1.0,0.0,2.0,9.0,0.4,204.0,22.9,97.0
2015-06-22 06:00:00+07:00,0.2,2.0,0.0,0.0,2.0,12.0,0.4,297.0,23.1,97.0
2015-06-22 07:00:00+07:00,0.2,1.0,1.0,0.0,2.0,10.0,0.4,305.0,23.3,97.0
2015-06-22 08:00:00+07:00,0.2,2.0,1.0,3.0,2.0,22.0,0.3,285.0,24.9,89.0
2015-06-22 09:00:00+07:00,0.2,2.5,1.0,13.0,5.0,13.0,1.0,221.0,27.2,75.0
2015-06-22 10:00:00+07:00,0.1,1.0,1.0,17.0,3.0,24.0,1.9,241.0,27.2,75.0
2015-06-22 11:00:00+07:00,0.1,0.0,1.0,19.0,2.8333333333333335,10.0,2.4,241.0,28.5,69.0
2015-06-22 12:00:00+07:00,0.1,0.0,0.0,23.0,2.6666666666666665,10.0,2.8999999999999995,247.0,29.7,61.0
2015-06-22 13:00:00+07:00,0.1,0.0,0.0,24.0,2.5,7.0,2.8999999999999995,243.0,30.0,59.0
2015-06-22 14:00:00+07:00,0.1,0.0,1.0,25.0,2.3333333333333335,7.0,2.8999999999999995,255.0,31.0,57.0
2015-06-22 15:00:00+07:00,0.2,0.0,1.0,28.0,2.166666666666667,17.0,2.8999999999999995,237.0,31.2,56.0
2015-06-22 16:00:00+07:00,0.2,0.0,1.0,29.0,2.0,7.0,2.8,245.0,31.1,55.0
2015-06-22 17:00:00+07:00,0.2,0.0,0.0,29.0,2.0,7.0,2.7,235.0,31.4,54.0
2015-06-22 18:00:00+07:00,0.1,0.0,0.0,31.0,1.5,11.0,2.3,244.0,31.6,53.0
2015-06-22 19:00:00+07:00,0.1,1.0,0.0,26.0,1.0,13.0,0.9,256.0,30.4,58.0
2015-06-22 20:00:00+07:00,0.3,2.5,0.0,12.0,2.0,16.0,0.6,83.5,27.6,73.0
2015-06-22 21:00:00+07:00,0.2,2.5,1.0,9.0,8.0,27.0,0.5,200.0,26.1,81.0
2015-06-22 22:00:00+07:00,0.3,2.5,1.0,5.0,6.0,19.0,0.4,327.0,25.2,86.0
2015-06-22 23:00:00+07:00,0.25,2.5,0.5,4.0,8.0,13.0,0.3,324.0,24.7,89.0
2015-06-23 00:00:00+07:00,0.2,2.0,0.0,14.0,6.0,14.0,0.4,181.0,25.2,84.0
2015-06-23 01:00:00+07:00,0.1,2.0,0.0,2.0,5.0,13.0,0.5,350.0,23.9,93.0
2015-06-23 02:00:00+07:00,0.1,2.0,0.0,1.0,2.0,11.0,0.4,306.0,23.6,94.0
2015-06-23 03:00:00+07:00,0.2,1.0,1.0,4.0,1.8,9.0,0.7,355.0,23.5,93.0
2015-06-23 04:00:00+07:00,0.2,1.0,1.0,3.0,1.6,10.0,0.5,333.0,23.4,93.0
2015-06-23 05:00:00+07:00,0.2,1.0,1.0,1.0,1.4,11.0,0.3,309.0,23.3,94.0
