datetime_aq,PM25,PM10,NO2,SO2,CO,O3
2021-01-14 05:00:00+07:00,20.0,42.0,11.0,0.0,0.39,39.5
2021-01-14 06:00:00+07:00,20.5,42.0,12.0,0.0,0.41,38.0
2021-01-14 07:00:00+07:00,19.0,43.0,13.0,0.0,0.44,36.0
2021-01-14 08:00:00+07:00,20.0,44.0,13.0,0.0,0.47,34.0
2021-01-14 09:00:00+07:00,21.0,45.0,13.0,0.0,0.5,32.0
2021-01-14 10:00:00+07:00,21.0,45.0,9.0,0.0,0.51,32.0
2021-01-14 11:00:00+07:00,22.0,45.0,7.0,0.0,0.51,34.0
2021-01-14 12:00:00+07:00,22.0,45.0,7.0,0.0,0.51,34.0
2021-01-14 13:00:00+07:00,22.0,45.0,5.0,0.0,0.5,39.5
2021-01-14 14:00:00+07:00,22.0,45.0,5.0,0.0,0.5,39.5
2021-01-14 15:00:00+07:00,22.0,44.0,3.0,0.0,0.46,39.5
2021-01-14 16:00:00+07:00,22.0,43.0,11.0,0.0,0.43,39.5
2021-01-14 17:00:00+07:00,22.0,43.0,11.0,0.0,0.43,39.5
2021-01-14 18:00:00+07:00,22.0,42.0,10.0,0.0,0.41,39.5
2021-01-14 19:00:00+07:00,22.0,41.0,13.0,0.0,0.43,39.5
2021-01-14 20:00:00+07:00,23.0,41.0,13.0,0.0,0.48,39.5
2021-01-14 21:00:00+07:00,23.0,40.0,12.0,0.0,0.51,39.5
2021-01-14 22:00:00+07:00,24.0,40.0,12.0,0.0,0.55,39.5
2021-01-14 23:00:00+07:00,25.0,40.0,8.0,0.0,0.55,39.5
2021-01-15 00:00:00+07:00,26.0,41.0,5.0,0.0,0.57,38.0
2021-01-15 01:00:00+07:00,26.0,41.0,5.0,0.0,0.57,38.0
2021-01-15 02:00:00+07:00,28.0,43.0,3.0,0.0,0.58,35.0
2021-01-15 03:00:00+07:00,29.0,43.0,7.0,0.0,0.56,33.0
2021-01-15 04:00:00+07:00,29.0,43.0,7.0,0.0,0.56,33.0
2021-01-15 05:00:00+07:00,30.0,42.0,9.0,0.0,0.5,32.0
2021-01-15 06:00:00+07:00,30.0,42.0,9.0,0.0,0.5,32.0
2021-01-15 07:00:00+07:00,29.0,42.0,9.0,0.0,0.5,31.0
2021-01-15 08:00:00+07:00,29.0,42.0,13.0,0.0,0.52,30.0
2021-01-15 09:00:00+07:00,29.0,42.0,13.0,0.0,0.52,30.0
2021-01-15 10:00:00+07:00,29.0,41.0,13.0,0.0,0.56,29.0
2021-01-15 11:00:00+07:00,29.0,42.0,8.0,0.0,0.56,31.0
2021-01-15 12:00:00+07:00,29.0,41.0,7.0,0.0,0.56,34.0
2021-01-15 13:00:00+07:00,29.0,41.0,4.0,0.0,0.55,36.0
2021-01-15 14:00:00+07:00,29.0,42.0,4.0,0.0,0.55,39.5
2021-01-15 15:00:00+07:00,29.0,42.0,5.0,0.0,0.53,39.5
2021-01-15 16:00:00+07:00,29.0,42.0,5.0,0.0,0.53,39.5
2021-01-15 17:00:00+07:00,29.0,43.0,6.0,0.0,0.46,39.5
2021-01-15 18:00:00+07:00,29.0,43.0,11.0,0.0,0.45,39.5
2021-01-15 19:00:00+07:00,29.0,43.0,13.0,0.0,0.47,39.5
2021-01-15 20:00:00+07:00,30.0,43.0,13.0,0.0,0.51,39.5
2021-01-15 21:00:00+07:00,29.0,43.0,13.0,0.0,0.56,39.0
2021-01-15 22:00:00+07:00,29.0,43.0,13.0,0.0,0.56,39.0
2021-01-15 23:00:00+07:00,30.0,44.0,12.0,0.0,0.645,27.0
2021-01-16 00:00:00+07:00,30.0,45.0,7.0,0.0,0.645,25.0
2021-01-16 01:00:00+07:00,31.0,45.0,6.0,0.0,0.645,21.0
2021-01-16 02:00:00+07:00,32.0,45.0,4.0,0.0,0.645,17.0
2021-01-16 03:00:00+07:00,32.5,46.0,4.0,0.0,0.645,14.0
2021-01-16 04:00:00+07:00,32.5,46.0,5.0,0.0,0.645,13.0
2021-01-16 05:00:00+07:00,32.5,47.0,6.0,0.0,0.645,12.0
2021-01-16 06:00:00+07:00,32.5,47.0,7.0,0.0,0.645,12.0
2021-01-16 07:00:00+07:00,32.5,47.0,8.0,0.0,0.645,11.0
2021-01-16 08:00:00+07:00,32.5,47.0,8.0,0.0,0.645,10.0
2021-01-16 09:00:00+07:00,32.5,47.0,9.0,0.0,0.645,10.0
2021-01-16 10:00:00+07:00,32.5,48.0,7.0,0.0,0.62,12.0
2021-01-16 11:00:00+07:00,32.5,48.0,7.0,0.0,0.62,12.0
2021-01-16 12:00:00+07:00,32.5,48.0,5.0,0.0,0.54,18.0
2021-01-16 13:00:00+07:00,32.5,48.0,4.0,0.0,0.54,22.0
2021-01-16 14:00:00+07:00,32.5,48.0,3.0,0.0,0.49,25.0
2021-01-16 15:00:00+07:00,32.5,47.0,2.0,0.0,0.43,28.0
2021-01-16 16:00:00+07:00,32.5,46.0,6.0,0.0,0.36,32.0
2021-01-16 17:00:00+07:00,32.5,46.0,6.0,0.0,0.36,32.0
2021-01-16 18:00:00+07:00,32.0,45.0,7.0,0.0,0.3,35.0
2021-01-16 19:00:00+07:00,31.0,46.0,9.0,0.0,0.31,33.0
2021-01-16 20:00:00+07:00,31.0,46.0,13.0,0.0,0.33,31.0
2021-01-16 21:00:00+07:00,31.0,45.0,12.0,0.0,0.34,30.0
2021-01-16 22:00:00+07:00,30.0,45.0,13.0,0.0,0.39,26.0
2021-01-16 23:00:00+07:00,29.0,44.0,12.0,0.0,0.45,24.0
2021-01-17 00:00:00+07:00,28.0,43.0,9.0,0.0,0.52,20.0
2021-01-17 01:00:00+07:00,27.0,42.0,7.0,0.0,0.56,17.0
2021-01-17 02:00:00+07:00,26.0,42.0,5.0,0.0,0.58,14.0
2021-01-17 03:00:00+07:00,26.0,41.0,8.0,0.0,0.62,11.0
2021-01-17 04:00:00+07:00,25.0,41.0,5.0,0.0,0.63,9.0
2021-01-17 05:00:00+07:00,25.0,41.0,5.0,0.0,0.63,9.0
2021-01-17 06:00:00+07:00,25.0,41.0,6.0,0.0,0.64,7.0
2021-01-17 07:00:00+07:00,25.0,41.0,6.0,0.0,0.64,7.0
2021-01-17 08:00:00+07:00,26.0,41.0,13.0,0.0,0.645,7.0
2021-01-17 09:00:00+07:00,26.0,41.0,13.0,0.0,0.645,7.0
2021-01-17 10:00:00+07:00,25.0,41.0,4.0,0.0,0.64,13.0
2021-01-17 11:00:00+07:00,25.0,41.0,3.0,0.0,0.59,17.0
2021-01-17 12:00:00+07:00,25.0,41.0,3.0,0.0,0.6,21.0
2021-01-17 13:00:00+07:00,25.0,40.0,4.5,0.0,0.56,26.0
2021-01-17 14:00:00+07:00,25.0,40.0,2.0,0.0,0.51,28.0
2021-01-17 15:00:00+07:00,25.0,39.0,2.0,0.0,0.43,34.0
2021-01-17 16:00:00+07:00,25.0,40.0,3.0,0.0,0.34,38.0
2021-01-17 17:00:00+07:00,25.0,40.0,3.0,0.0,0.29,39.5
2021-01-17 18:00:00+07:00,25.0,40.0,6.0,0.0,0.29,39.5
2021-01-17 19:00:00+07:00,25.0,40.0,6.0,0.0,0.29,39.5
2021-01-17 20:00:00+07:00,25.0,41.0,13.0,0.0,0.34,39.5
2021-01-17 21:00:00+07:00,26.0,42.0,12.0,0.0,0.36,39.5
2021-01-17 22:00:00+07:00,26.0,42.0,12.0,0.0,0.36,39.5
2021-01-17 23:00:00+07:00,27.0,43.0,9.0,0.0,0.4,39.0
2021-01-18 00:00:00+07:00,26.0,42.0,6.0,0.0,0.41,37.0
2021-01-18 01:00:00+07:00,26.0,42.0,4.0,0.0,0.43,33.0
2021-01-18 02:00:00+07:00,25.0,41.0,3.0,0.0,0.44,28.0
2021-01-18 03:00:00+07:00,25.0,41.0,3.0,0.0,0.44,28.0
2021-01-18 04:00:00+07:00,24.0,40.0,6.0,0.0,0.45,21.0
2021-01-18 05:00:00+07:00,24.0,40.0,6.0,0.0,0.45,21.0
2021-01-18 06:00:00+07:00,24.0,40.0,10.0,0.0,0.5,17.0
2021-01-18 07:00:00+07:00,24.0,40.0,13.0,0.0,0.52,16.0
2021-01-18 08:00:00+07:00,24.0,40.0,13.0,0.0,0.56,14.0
2021-01-18 09:00:00+07:00,24.0,40.0,13.0,0.0,0.57,17.0
2021-01-18 10:00:00+07:00,24.0,40.0,5.0,0.0,0.56,22.0
2021-01-18 11:00:00+07:00,24.0,40.0,6.0,0.0,0.57,27.0
2021-01-18 12:00:00+07:00,24.0,40.0,5.5,0.0,0.55,31.0
2021-01-18 13:00:00+07:00,24.0,41.0,5.0,0.0,0.51,33.0
2021-01-18 14:00:00+07:00,24.0,41.0,5.0,0.0,0.51,33.0
2021-01-18 15:00:00+07:00,25.0,43.0,6.0,0.0,0.43,39.0
2021-01-18 16:00:00+07:00,25.0,43.0,6.0,0.0,0.43,39.0
2021-01-18 17:00:00+07:00,26.0,45.0,7.0,0.0,0.35,39.5
2021-01-18 18:00:00+07:00,26.0,45.0,6.0,0.0,0.34,39.5
2021-01-18 19:00:00+07:00,26.0,45.0,7.0,0.0,0.34,39.5
2021-01-18 20:00:00+07:00,26.0,45.0,7.0,0.0,0.34,39.5
2021-01-18 21:00:00+07:00,25.0,43.0,8.0,0.0,0.33,39.5
2021-01-18 22:00:00+07:00,23.0,42.0,8.0,0.0,0.33,39.5
2021-01-18 23:00:00+07:00,23.0,42.0,8.0,0.0,0.33,39.5
2021-01-19 00:00:00+07:00,22.0,42.0,7.0,0.0,0.38,36.0
2021-01-19 01:00:00+07:00,22.0,42.0,10.0,0.0,0.42,32.0
2021-01-19 02:00:00+07:00,22.0,42.0,6.0,0.0,0.46,28.0
2021-01-19 03:00:00+07:00,22.0,42.0,6.0,0.0,0.46,28.0
2021-01-19 04:00:00+07:00,23.0,43.0,4.0,0.0,0.52,20.0
2021-01-19 05:00:00+07:00,24.0,44.0,5.0,0.0,0.53,16.0
2021-01-19 06:00:00+07:00,23.0,44.0,6.0,0.0,0.56,13.0
2021-01-19 07:00:00+07:00,24.0,44.0,8.0,0.0,0.57,10.0
2021-01-19 08:00:00+07:00,24.0,44.0,8.0,0.0,0.57,10.0
2021-01-19 09:00:00+07:00,24.0,44.0,8.0,0.0,0.56,11.0
2021-01-19 10:00:00+07:00,24.0,44.0,8.0,0.0,0.56,11.0
2021-01-19 11:00:00+07:00,23.0,43.0,7.0,0.0,0.5,21.0
2021-01-19 12:00:00+07:00,23.0,43.0,4.0,0.0,0.48,22.0
2021-01-19 13:00:00+07:00,23.0,43.0,4.0,0.0,0.45,27.0
