datetime,PM25,PM10,NO2,SO2,CO,O3
2021-06-24 09:00:00+07:00,13.0,31.0,5.0,0.0,0.33,19.0
2021-06-24 10:00:00+07:00,13.0,30.0,5.0,0.0,0.35,21.0
2021-06-24 11:00:00+07:00,13.0,30.0,5.0,0.0,0.35,21.0
2021-06-24 12:00:00+07:00,12.0,28.0,5.0,0.0,0.37,23.0
2021-06-24 13:00:00+07:00,12.0,27.0,4.0,0.0,0.38,25.0
2021-06-24 14:00:00+07:00,12.0,26.0,4.0,0.0,0.39,27.0
2021-06-24 15:00:00+07:00,11.0,26.0,5.0,0.0,0.39,31.0
2021-06-24 16:00:00+07:00,11.0,25.0,4.0,0.0,0.38,34.0
2021-06-24 17:00:00+07:00,11.0,24.0,5.0,0.0,0.38,37.0
2021-06-24 18:00:00+07:00,11.0,23.0,4.5,0.0,0.38,37.0
2021-06-24 19:00:00+07:00,10.0,22.0,8.0,0.0,0.38,37.0
2021-06-24 20:00:00+07:00,10.0,21.0,5.0,0.0,0.39,36.0
2021-06-24 21:00:00+07:00,10.0,21.0,5.0,0.0,0.39,36.0
2021-06-24 22:00:00+07:00,10.0,20.0,5.0,0.0,0.39,34.0
2021-06-24 23:00:00+07:00,10.0,20.0,5.0,0.0,0.39,31.0
2021-06-25 00:00:00+07:00,10.0,19.0,3.0,0.0,0.39,28.0
2021-06-25 01:00:00+07:00,10.0,19.0,3.0,0.0,0.38,25.0
2021-06-25 02:00:00+07:00,10.0,19.0,2.0,0.0,0.37,24.0
2021-06-25 03:00:00+07:00,10.0,19.0,2.0,0.0,0.37,24.0
2021-06-25 04:00:00+07:00,10.0,19.0,2.0,0.0,0.35,23.0
2021-06-25 05:00:00+07:00,10.0,19.0,3.0,0.0,0.34,22.0
2021-06-25 06:00:00+07:00,10.0,19.0,3.0,0.0,0.34,21.0
2021-06-25 07:00:00+07:00,10.0,18.0,5.0,0.0,0.34,20.0
2021-06-25 08:00:00+07:00,10.0,18.0,7.0,0.0,0.34,20.0
2021-06-25 09:00:00+07:00,9.0,18.0,5.0,0.0,0.35,19.0
2021-06-25 10:00:00+07:00,9.0,17.0,4.0,0.0,0.36,20.0
2021-06-25 11:00:00+07:00,9.0,17.0,4.0,0.0,0.36,20.0
2021-06-25 12:00:00+07:00,9.0,17.0,7.0,0.0,0.39,24.0
2021-06-25 13:00:00+07:00,9.0,17.0,6.0,0.0,0.4,26.0
2021-06-25 14:00:00+07:00,9.0,17.0,6.0,0.0,0.4,26.0
2021-06-25 15:00:00+07:00,9.0,17.0,5.0,0.0,0.41,31.0
2021-06-25 16:00:00+07:00,9.0,17.0,7.0,0.0,0.41,32.0
2021-06-25 17:00:00+07:00,9.0,17.0,12.0,0.0,0.42,32.0
2021-06-25 18:00:00+07:00,9.0,17.0,12.0,0.0,0.44,31.0
2021-06-25 19:00:00+07:00,9.0,17.0,5.5,0.0,0.44,30.0
2021-06-25 20:00:00+07:00,9.0,17.0,6.0,0.0,0.43,28.0
